,group_1
4268,4543
4272,4549
4275,4553
4276,4555
4277,4557
4278,4558
4281,4561
4284,4564
4285,4565
4286,4567
4287,4568
4289,4569
4292,4572
4294,4574
4295,4575
4296,4576
4301,4585
4302,4586
4303,4587
4310,4594
4311,4594
4313,4594
4317,4602
4319,4603
4320,4604
4321,4605
4322,4606
4323,4606
4324,4607
4326,4609
4327,4610
4332,4617
4333,4620
4337,4624
4343,4625
4350,4632
4351,4632
4352,4632
4353,4633
4354,4634
4356,4637
4359,4641
4360,4642
4367,4649
4368,4650
4371,4653
4375,4656
4376,4656
4377,4657
4378,4658
4379,4658
4380,4659
4382,4661
4384,4661
4385,4661
4386,4661
4387,4661
4388,4662
4397,4664
4398,4665
4402,4672
4403,4673
4405,4677
4406,4678
4408,4680
4411,4680
4416,4690
4417,4691
4418,4693
4422,4695
4425,4699
4426,4704
4427,4706
4429,4708
4430,4709
4432,4710
4433,4711
4435,4713
4436,4714
4437,4717
4442,4723
4443,4725
4449,4728
4451,4730
4456,4738
4457,4738
4465,4746
4466,4748
4467,4750
4468,4750
4469,4752
4470,4753
4471,4754
4475,4757
4476,4758
4477,4759
4484,4772
4488,4774
4492,4778
4493,4780
4496,4782
4497,4782
4499,4782
4504,4787
4505,4788
4506,4790
4509,4793
4511,4794
4519,4801
4520,4803
4524,4807
4525,4808
4526,4810
4530,4817
4537,4823
4540,4829
4541,4830
4543,4832
4547,4838
4550,4841
4551,4841
4552,4842
4554,4846
4561,4853
4563,4857
4564,4862
4565,4863
4566,4864
4569,4870
4570,4871
4575,4876
4576,4878
4577,4879
4578,4880
4580,4882
4582,4884
4584,4886
4587,4889
4592,4892
4595,4896
4596,4897
4600,4900
4601,4901
4602,4901
4603,4902
4604,4903
4605,4904
4606,4909
4607,4910
4608,4911
4609,4912
4612,4915
4620,4924
4632,4933
4633,4933
4635,4934
4636,4937
4640,4941
4645,4944
4646,4944
4648,4946
4649,4950
4654,4958
4657,4964
4658,4965
4659,4970
4661,4973
4663,4974
4669,4977
4670,4978
4671,4979
4672,4980
4673,4980
4674,4980
4677,4981
4680,4989
4681,4990
4682,4991
4683,4992
4688,4999
4690,5003
4692,5005
4695,5006
4696,5007
4699,5010
4702,5014
4704,5015
4705,5016
4708,5019
4711,5023
4712,5025
4713,5027
4714,5028
4716,5034
4718,5036
4719,5036
4720,5039
4723,5039
4724,5040
4725,5040
4727,5044
4730,5050
4731,5051
4736,5058
4738,5059
4741,5060
4742,5060
4745,5062
4747,5064
4749,5065
4752,5069
4754,5072
4755,5072
4757,5074
4758,5076
4759,5080
4760,5083
4761,5084
4762,5084
4764,5087
4766,5089
4768,5090
4769,5090
4771,5090
4772,5090
4774,5091
4775,5093
4786,5111
4787,5111
4788,5111
4796,5120
4798,5124
4799,5125
4802,5127
4803,5128
4807,5132
4809,5133
4811,5133
4812,5133
4814,5133
4815,5133
4816,5136
4821,5142
4827,5148
4830,5152
4831,5154
4835,5158
4836,5160
4839,5162
4844,5167
4845,5170
4846,5171
4849,5174
4850,5175
4851,5176
4859,5185
4860,5186
4861,5187
4862,5188
4864,5188
4865,5190
4871,5196
4873,5198
4874,5199
4875,5201
4877,5204
4878,5205
4882,5206
4883,5206
4885,5207
4887,5208
4890,5211
4892,5214
4893,5216
4896,5218
4897,5220
4898,5221
4902,5224
4906,5229
4909,5235
4911,5238
4917,5244
4922,5249
4932,5256
4933,5257
4939,5265
4940,5266
4941,5266
4944,5271
4946,5273
4947,5274
4948,5275
4952,5279
4954,5281
4960,5290
4961,5291
4969,5303
4973,5303
4974,5304
4978,5310
4982,5315
4985,5320
4990,5327
4992,5331
4997,5340
4999,5343
5000,5344
5002,5345
5003,5345
5005,5347
5007,5350
5008,5351
5011,5354
5012,5354
5015,5356
5016,5359
5021,5365
5026,5368
5027,5372
5031,5378
5032,5379
5033,5380
5034,5383
5037,5385
5038,5387
5041,5389
5045,5392
5048,5396
5052,5401
5053,5402
5054,5404
5055,5406
5056,5408
5057,5408
5058,5410
5059,5411
5062,5414
5063,5414
5064,5414
5065,5414
5067,5415
5069,5416
5072,5418
5074,5421
5076,5423
5078,5424
5079,5424
5080,5425
5082,5427
5083,5427
5084,5430
5087,5435
5088,5436
5090,5438
5092,5440
5093,5440
5095,5443
5096,5445
5103,5453
5104,5454
5105,5455
5106,5457
5107,5458
5108,5459
5109,5462
5111,5465
5112,5465
5115,5466
5117,5466
5118,5466
5119,5467
5122,5470
5123,5471
5126,5475
5129,5478
5131,5480
5132,5483
5134,5485
5138,5488
5141,5489
5142,5490
5143,5491
5144,5492
5150,5500
5152,5504
5154,5507
5155,5508
5159,5511
5160,5512
5166,5515
5167,5517
5169,5521
5173,5523
5175,5526
5177,5527
5178,5527
5179,5527
5181,5528
5182,5529
5183,5530
5185,5531
5191,5537
5194,5539
5198,5544
5202,5546
5205,5552
5207,5552
5209,5556
5212,5560
5214,5561
5215,5561
5216,5561
5218,5566
5219,5568
5221,5569
5224,5573
5225,5574
5226,5575
5231,5582
5233,5585
5235,5586
5236,5587
5238,5591
5240,5594
5241,5595
5242,5596
5244,5599
5252,5603
5256,5609
5258,5610
5260,5611
5269,5625
5270,5625
5271,5625
5273,5625
5275,5627
5276,5628
5278,5631
5279,5637
5285,5643
5286,5643
5287,5644
5292,5647
5293,5648
5294,5648
5295,5650
5297,5652
5298,5653
5299,5655
5300,5659
5302,5661
5304,5662
5306,5667
5307,5671
5309,5674
5310,5677
5318,5684
5320,5685
5321,5686
5322,5686
5323,5687
5325,5689
5326,5692
5330,5698
5342,5711
5345,5714
5354,5719
5356,5721
5357,5722
5358,5723
5362,5727
5363,5728
5365,5730
5366,5732
5368,5733
5370,5736
5375,5740
5376,5740
5377,5742
5379,5746
5380,5747
5381,5748
5382,5750
5383,5751
5385,5756
5386,5756
5387,5756
5388,5756
5390,5756
5391,5756
5392,5756
5393,5757
5396,5763
5397,5763
5399,5765
5406,5772
5408,5776
5409,5777
5410,5778
5415,5781
5417,5785
5418,5786
5420,5790
5422,5792
5424,5794
5426,5796
5428,5800
5430,5804
5431,5806
5432,5808
5433,5808
5434,5808
5435,5809
5439,5811
5448,5814
5453,5814
5457,5818
5460,5821
5467,5828
5468,5829
5469,5831
5470,5834
5473,5837
5475,5840
5480,5846
5481,5847
5483,5849
5484,5852
5490,5857
5493,5860
5498,5863
5499,5867
5500,5868
5504,5875
5508,5877
5512,5882
5516,5885
5518,5885
5519,5885
5521,5886
5522,5886
5524,5887
5525,5888
5526,5888
5527,5889
5536,5901
5537,5902
5538,5903
5540,5906
5547,5913
5548,5915
5551,5920
5553,5921
5554,5922
5556,5924
5557,5925
5559,5925
5560,5927
5561,5927
5563,5927
5565,5927
5566,5927
5569,5930
5571,5931
5572,5933
5576,5939
5582,5946
5584,5949
5586,5950
5587,5951
5589,5953
5590,5954
5591,5955
5592,5955
5593,5956
5596,5957
5597,5959
5602,5963
5606,5967
5607,5968
5609,5969
5612,5971
5614,5973
5617,5976
5619,5977
5621,5977
5623,5981
5626,5983
5629,5984
5633,5988
5634,5989
5639,5994
5643,6000
5644,6000
5645,6001
5646,6003
5648,6006
5653,6011
5654,6014
5657,6016
5658,6016
5662,6020
5663,6020
5664,6020
5665,6020
5666,6020
5667,6020
5668,6020
5669,6022
5671,6025
5674,6028
5675,6028
5679,6029
5689,6032
5691,6033
5694,6034
5697,6035
5701,6038
5703,6039
5705,6041
5706,6042
5707,6043
5708,6045
5710,6048
5712,6052
5714,6055
5716,6055
5717,6058
5720,6062
5721,6062
5722,6064
5724,6066
5725,6066
5727,6067
5729,6069
5730,6070
5737,6082
5740,6087
5743,6091
5750,6095
5753,6096
5754,6098
5756,6101
5757,6102
5759,6105
5762,6108
5763,6109
5767,6111
5772,6115
5773,6116
5774,6117
5775,6118
5776,6118
5779,6121
5784,6127
5785,6128
5786,6128
5790,6135
5791,6136
5793,6137
5805,6141
5806,6141
5808,6145
5809,6146
5815,6152
5817,6155
5818,6156
5819,6157
5821,6162
5822,6163
5823,6166
5828,6170
5829,6171
5832,6174
5834,6174
5835,6175
5837,6175
5839,6178
5842,6181
5843,6182
5852,6194
5856,6200
5857,6200
5858,6201
5859,6205
5860,6206
5861,6207
5863,6207
5868,6215
5870,6218
5871,6218
5872,6219
5873,6220
5874,6222
5875,6223
5876,6224
5878,6225
5879,6227
5882,6230
5885,6236
5888,6239
5889,6241
5892,6246
5897,6252
5898,6253
5899,6253
5904,6262
5906,6263
5907,6264
5908,6265
5911,6270
5912,6270
5914,6273
5915,6273
5919,6279
5922,6282
5923,6283
5924,6283
5930,6293
5935,6301
5936,6302
5937,6302
5940,6302
5945,6305
5946,6308
5952,6313
5953,6313
5954,6315
5955,6316
5956,6317
5958,6319
5961,6321
5964,6323
5966,6324
5970,6325
5971,6326
5973,6328
5974,6328
5975,6328
5984,6334
5986,6335
5987,6338
5988,6339
5990,6340
5991,6341
5995,6346
5996,6346
5998,6348
6005,6357
6010,6363
6012,6363
6013,6363
6015,6363
6016,6363
6017,6365
6019,6367
6021,6368
6024,6371
6026,6372
6030,6374
6033,6380
6035,6380
6036,6381
6037,6385
6043,6394
6044,6396
6045,6397
6047,6399
6049,6400
6050,6402
6051,6402
6054,6402
6056,6405
6063,6408
6064,6409
6065,6411
6066,6412
6067,6413
6071,6418
6074,6421
6075,6422
6077,6422
6078,6422
6079,6424
6082,6430
6083,6431
6085,6431
6086,6432
6093,6442
6098,6443
6099,6443
6101,6444
6103,6446
6107,6448
6108,6449
6109,6449
6110,6450
6112,6451
6116,6453
6118,6455
6119,6456
6121,6458
6122,6459
6126,6463
6127,6464
6130,6468
6131,6468
6132,6470
6138,6477
6139,6477
6140,6478
6141,6480
6143,6482
6148,6487
6149,6488
6150,6489
6152,6490
6157,6494
6158,6500
6161,6503
6162,6508
6164,6510
6165,6511
6166,6511
6170,6512
6171,6513
6172,6514
6173,6514
6174,6517
6175,6520
6178,6525
6182,6526
6184,6530
6186,6535
6187,6539
6189,6541
6192,6546
6193,6547
6195,6549
6196,6549
6197,6552
6198,6553
6201,6557
6204,6561
6206,6562
6208,6563
6209,6565
6210,6565
6211,6567
6212,6567
6213,6568
6215,6570
6216,6572
6218,6574
6219,6578
6221,6580
6222,6582
6229,6590
6231,6591
6234,6593
6239,6601
6243,6606
6244,6608
6245,6609
6247,6611
6255,6622
6258,6624
6260,6625
6261,6626
6262,6628
6264,6631
6268,6635
6269,6635
6270,6637
6271,6638
6276,6643
6280,6649
6281,6650
6282,6652
6289,6660
6290,6662
6293,6663
6294,6663
6297,6665
6299,6665
6302,6668
6304,6670
6307,6671
6310,6672
6312,6673
6313,6674
6317,6674
6318,6675
6319,6675
6324,6684
6326,6684
6329,6693
6331,6697
6332,6698
6333,6699
6340,6708
6345,6711
6346,6713
6347,6718
6348,6718
6354,6722
6358,6725
6361,6729
6363,6729
6365,6731
6373,6741
6375,6744
6376,6744
6377,6744
6378,6744
6379,6744
6380,6745
6385,6748
6386,6748
6388,6750
6390,6751
6392,6753
6394,6756
6397,6757
6398,6758
6401,6761
6402,6762
6404,6764
6407,6766
6410,6773
6412,6774
6413,6774
6415,6776
6416,6778
6423,6782
6424,6784
6426,6786
6428,6787
6429,6787
6433,6787
6434,6788
6438,6796
6443,6802
6444,6805
6446,6808
6452,6813
6454,6816
6455,6816
6458,6816
6460,6817
6462,6820
6463,6821
6464,6822
6467,6825
6468,6826
6469,6827
6474,6829
6475,6829
6476,6831
6481,6839
6486,6844
6488,6850
6489,6850
6490,6850
6492,6853
6493,6854
6494,6857
6497,6858
6502,6862
6503,6863
6506,6865
6509,6866
6510,6868
6511,6869
6515,6880
6516,6880
6518,6882
6521,6887
6522,6889
6529,6895
6530,6896
6535,6899
6537,6901
6539,6903
6540,6905
6541,6905
6544,6906
6547,6908
6548,6910
6550,6912
6552,6913
6554,6917
6556,6920
6562,6921
6564,6925
6566,6928
6567,6928
6575,6934
6577,6939
6582,6946
6585,6949
6590,6954
6591,6954
6593,6960
6594,6962
6595,6963
6596,6964
6597,6966
6598,6967
6599,6968
6600,6968
6601,6970
6602,6970
6608,6971
6609,6972
6610,6973
6615,6979
6617,6981
6619,6984
6621,6984
6622,6985
6624,6988
6626,6990
6627,6991
6629,6992
6630,6992
6633,6994
6634,6995
6635,6996
6636,6997
6637,6997
6638,6998
6639,6999
6641,7002
6642,7004
6646,7007
6647,7008
6648,7010
6650,7011
6654,7016
6656,7018
6657,7019
6658,7019
6662,7022
6664,7026
6669,7029
6671,7032
6672,7034
6674,7037
6675,7038
6676,7039
6679,7042
6680,7044
6681,7045
6683,7048
6686,7051
6688,7053
6689,7056
6690,7057
6693,7060
6695,7062
6696,7068
6697,7069
6698,7069
6700,7071
6701,7072
6704,7074
6705,7077
6706,7078
6707,7079
6709,7082
6712,7084
6713,7085
6716,7086
6718,7088
6720,7090
6723,7093
6727,7096
6730,7097
6731,7097
6732,7097
6734,7099
6735,7104
6739,7109
6740,7110
6741,7111
6742,7113
6744,7114
6745,7116
6747,7118
6748,7119
6749,7120
6752,7126
6753,7127
6755,7128
6757,7128
6758,7132
6759,7133
6761,7137
6762,7140
6763,7142
6765,7142
6766,7143
6767,7144
6770,7151
6773,7155
6779,7157
6782,7161
6783,7162
6785,7166
6788,7170
6791,7175
6793,7176
6795,7177
6797,7180
6799,7182
6802,7186
6803,7186
6806,7188
6810,7191
6813,7194
6814,7197
6815,7199
6817,7202
6819,7205
6820,7206
6823,7208
6824,7210
6831,7219
6833,7219
6835,7219
6836,7221
6838,7225
6839,7226
6840,7227
6841,7229
6843,7232
6844,7233
6845,7234
6846,7235
6848,7238
6852,7246
6853,7247
6854,7249
6857,7252
6859,7255
6860,7256
6862,7257
6865,7260
6869,7268
6871,7271
6873,7274
6874,7276
6878,7280
6880,7284
6886,7290
6887,7290
6888,7292
6889,7296
6890,7297
6894,7302
6895,7303
6899,7307
6900,7309
6901,7310
6902,7311
6903,7313
6905,7320
6907,7322
6908,7323
6910,7326
6912,7328
6913,7330
6914,7331
6915,7332
6916,7334
6917,7336
6918,7336
6919,7337
6920,7338
6921,7339
6922,7340
6925,7343
6926,7344
6927,7346
6928,7347
6931,7353
6934,7356
6936,7358
6941,7365
6942,7366
6943,7367
6944,7367
6945,7370
6947,7372
6950,7377
6951,7379
6952,7385
6955,7390
6956,7391
6957,7392
6958,7393
6959,7394
6962,7395
6963,7395
6968,7399
6969,7401
6972,7403
6974,7406
6975,7408
6977,7411
6978,7416
6982,7422
6984,7425
6986,7428
6987,7429
6988,7430
6989,7431
6992,7436
6997,7442
6998,7442
6999,7444
7000,7445
7001,7446
7002,7447
7003,7448
7004,7449
7005,7450
7012,7457
7013,7458
7014,7459
7022,7477
7025,7481
7028,7485
7029,7486
7031,7488
7035,7494
7036,7495
7038,7498
7042,7500
7043,7501
7047,7504
7048,7505
7051,7506
7052,7507
7055,7508
7056,7509
7057,7510
7058,7512
7059,7513
7060,7514
7061,7515
7063,7517
7065,7518
7066,7520
7067,7521
7068,7522
7072,7525
7079,7534
7082,7538
7083,7538
7084,7542
7085,7543
7086,7544
7087,7545
7091,7553
7092,7559
7094,7561
7098,7565
7100,7567
7101,7568
7102,7569
7103,7569
7104,7572
7105,7573
7108,7576
7109,7577
7110,7578
7116,7584
7118,7585
7124,7592
7130,7599
7131,7601
7133,7604
7134,7605
7137,7609
7142,7620
7144,7622
7145,7623
7147,7625
7148,7626
7151,7628
7152,7630
7153,7631
7154,7632
7155,7633
7161,7643
7165,7646
7167,7647
7170,7650
7173,7650
7175,7656
7181,7669
7183,7671
7184,7676
7185,7677
7186,7678
7188,7679
7189,7680
7190,7682
7193,7687
7194,7688
7195,7689
7198,7692
7201,7694
7202,7696
7203,7696
7208,7700
7209,7702
7212,7705
7213,7707
7214,7708
7215,7709
7216,7709
7218,7711
7221,7714
7222,7715
7224,7717
7226,7720
7229,7724
7231,7728
7234,7736
7236,7739
7237,7741
7238,7741
7241,7743
7242,7744
7245,7747
7246,7748
7247,7748
7249,7749
7251,7752
7252,7753
7257,7760
7260,7763
7261,7764
7264,7769
7265,7770
7266,7770
7270,7775
7271,7776
7273,7778
7274,7778
7276,7782
7277,7782
7280,7785
7281,7786
7282,7787
7284,7788
7285,7789
7286,7790
7287,7790
7289,7791
7290,7793
7291,7797
7293,7801
7294,7802
7295,7803
7297,7805
7298,7806
7299,7808
7302,7810
7303,7812
7304,7813
7307,7818
7309,7821
7310,7824
7311,7828
7315,7830
7316,7830
7317,7831
7318,7832
7319,7833
7321,7834
7322,7835
7325,7839
7326,7840
7327,7841
7328,7841
7332,7847
7333,7848
7335,7849
7336,7850
7338,7852
7339,7853
7340,7853
7342,7856
7343,7858
7344,7858
7345,7858
7347,7861
7353,7866
7354,7868
7357,7872
7358,7872
7359,7872
7360,7872
7363,7873
7366,7877
7367,7878
7368,7879
7369,7881
7370,7882
7373,7884
7375,7886
7378,7890
7382,7891
7385,7895
7387,7899
7388,7899
7391,7902
7393,7902
7394,7902
7395,7903
7398,7905
7400,7905
7403,7910
7405,7914
7406,7914
7408,7916
7410,7919
7412,7922
7413,7924
7414,7926
7415,7929
7418,7936
7419,7936
7421,7937
7423,7939
7424,7940
7425,7941
7428,7944
7432,7947
7433,7949
7434,7950
7438,7952
7439,7952
7440,7954
7441,7955
7444,7960
7445,7962
7446,7967
7450,7972
7452,7974
7453,7974
7455,7981
7456,7981
7457,7982
7465,7986
7466,7987
7468,7989
7472,7994
7474,7996
7480,8005
7482,8005
7483,8006
7484,8007
7488,8012
7492,8015
7494,8016
7495,8018
7497,8020
7498,8021
7501,8024
7504,8027
7505,8027
7506,8029
7507,8030
7511,8034
7512,8034
7514,8036
7515,8036
7516,8037
7519,8042
7525,8049
7526,8050
7529,8052
7530,8052
7531,8053
7532,8054
7533,8055
7534,8056
7538,8058
7539,8059
7540,8060
7542,8063
7545,8064
7547,8067
7548,8068
7552,8072
7553,8075
7554,8076
7555,8076
7556,8077
7557,8078
7560,8082
7562,8083
7563,8084
7564,8085
7567,8088
7568,8088
7570,8091
7573,8092
7576,8098
7580,8102
7581,8103
7582,8105
7584,8107
7585,8108
7586,8112
7589,8116
7591,8117
7593,8118
7594,8119
7596,8119
7599,8122
7601,8122
7602,8123
7603,8124
7607,8129
7608,8129
7609,8129
7610,8130
7611,8130
7612,8130
7614,8133
7617,8136
7618,8137
7619,8138
7625,8144
7628,8147
7630,8147
7632,8148
7633,8149
7636,8150
7637,8152
7638,8153
7639,8156
7641,8157
7642,8157
7646,8158
7647,8159
7648,8161
7649,8162
7650,8164
7651,8165
7653,8168
7654,8168
7655,8168
7656,8168
7657,8168
7661,8171
7664,8176
7665,8177
7667,8182
7670,8186
7671,8186
7672,8189
7674,8191
7675,8192
7677,8197
7678,8199
7684,8202
7686,8203
7688,8204
7689,8204
7690,8205
7694,8210
7696,8212
7697,8213
7700,8217
7702,8219
7705,8222
7707,8224
7708,8225
7715,8231
7716,8232
7717,8233
7718,8233
7719,8235
7720,8237
7721,8238
7722,8238
7723,8239
7725,8243
7726,8244
7728,8248
7729,8248
7731,8252
7732,8252
7733,8252
7735,8255
7736,8257
7737,8259
7738,8260
7741,8261
7743,8265
7745,8267
7748,8268
7754,8273
7761,8281
7762,8282
7763,8287
7764,8288
7765,8288
7766,8289
7770,8295
7771,8297
7774,8301
7776,8302
7777,8303
7780,8306
7784,8313
7785,8314
7787,8315
7788,8316
7789,8317
7791,8318
7792,8318
7794,8319
7796,8321
7797,8322
7800,8324
7801,8326
7802,8328
7803,8329
7804,8330
7806,8333
7808,8335
7811,8338
7813,8339
7814,8339
7815,8341
7818,8342
7819,8343
7823,8345
7824,8346
7828,8356
7832,8363
7833,8363
7835,8366
7836,8366
7838,8366
7839,8366
7845,8373
7849,8377
7850,8378
7851,8379
7853,8381
7854,8382
7855,8383
7856,8383
7859,8383
7861,8383
7862,8384
7863,8386
7866,8392
7867,8393
7868,8394
7869,8395
7878,8406
7879,8407
7880,8409
7881,8410
7883,8414
7886,8418
7889,8420
7891,8423
7892,8427
7894,8430
7896,8431
7897,8432
7899,8437
7900,8438
7902,8442
7903,8444
7904,8447
7906,8449
7908,8451
7910,8452
7914,8454
7916,8457
7917,8458
7923,8459
7924,8460
7926,8463
7927,8465
7929,8466
7931,8468
7933,8470
7934,8471
7935,8472
7936,8474
7937,8475
7938,8475
7940,8477
7941,8479
7942,8480
7943,8480
7945,8482
7948,8487
7952,8493
7956,8502
7957,8503
7958,8503
7962,8506
7966,8509
7967,8511
7969,8514
7971,8521
7973,8523
7975,8528
7976,8530
7977,8535
7978,8536
7980,8537
7982,8539
7983,8540
7984,8541
7986,8542
7987,8544
7988,8545
7989,8548
7991,8551
7992,8552
7993,8552
7995,8556
7999,8559
8003,8561
8004,8566
8006,8570
8007,8571
8008,8572
8012,8574
8014,8574
8017,8580
8020,8584
8021,8585
8022,8586
8023,8587
8025,8589
8026,8592
8027,8594
8034,8598
8035,8599
8036,8602
8037,8602
8038,8602
8039,8603
8040,8604
8042,8605
8045,8605
8047,8606
8048,8606
8049,8606
8051,8609
8053,8611
8054,8612
8059,8616
8062,8618
8064,8619
8065,8620
8066,8623
8067,8624
8068,8624
8069,8626
8070,8628
8072,8631
8073,8633
8074,8634
8075,8635
8079,8637
8080,8638
8083,8639
8084,8639
8085,8640
8087,8641
8089,8642
8090,8643
8091,8644
8092,8644
8095,8646
8097,8646
8100,8654
8101,8656
8102,8656
8106,8658
8108,8661
8111,8664
8112,8667
8114,8668
8115,8668
8116,8669
8117,8669
8118,8669
8121,8672
8123,8674
8125,8680
8126,8681
8129,8683
8130,8684
8133,8688
8134,8691
8137,8694
8138,8694
8141,8700
8142,8701
8143,8703
8145,8704
8146,8708
8147,8709
8148,8710
8151,8716
8152,8717
8153,8719
8154,8719
8158,8722
8159,8722
8160,8723
8161,8727
8163,8728
8164,8728
8165,8728
8167,8728
8168,8728
8170,8729
8171,8729
8172,8732
8173,8733
8175,8735
8180,8741
8181,8743
8182,8744
8183,8749
8184,8750
8185,8751
8186,8752
8187,8753
8188,8753
8189,8753
8190,8754
8193,8759
8194,8759
8195,8760
8200,8770
8202,8770
8203,8770
8204,8770
8207,8771
8209,8772
8210,8773
8213,8779
8214,8780
8215,8781
8217,8783
8219,8785
8222,8787
8223,8789
8226,8791
8229,8796
8230,8796
8231,8796
8232,8796
8236,8797
8237,8798
8239,8801
8241,8805
8243,8807
8245,8809
8246,8811
8247,8812
8248,8813
8249,8815
8254,8816
8255,8817
8257,8819
8260,8822
8262,8824
8264,8826
8265,8826
8266,8826
8269,8830
8273,8834
8274,8835
8275,8836
8276,8836
8278,8840
8281,8843
8283,8845
8284,8845
8287,8850
8289,8852
8290,8853
8291,8854
8293,8858
8297,8860
8300,8862
8306,8865
8314,8874
8316,8878
8319,8883
8321,8885
8322,8886
8323,8886
8325,8889
8326,8890
8329,8892
8334,8900
8337,8903
8338,8904
8340,8906
8342,8910
8343,8918
8344,8919
8345,8920
8351,8932
8356,8940
8357,8941
8359,8941
8363,8944
8364,8945
8365,8945
8367,8948
8369,8954
8370,8955
8371,8956
8373,8956
8374,8956
8375,8956
8376,8956
8377,8956
8378,8956
8381,8961
8382,8961
8383,8961
8384,8961
8385,8964
8388,8966
8389,8967
8392,8970
8395,8975
8396,8975
8397,8976
8398,8977
8399,8978
8400,8981
8401,8982
8402,8983
8403,8985
8404,8986
8405,8986
8410,8988
8411,8988
8413,8988
8414,8988
8418,8989
8419,8992
8420,8993
8421,8996
8423,8997
8424,8998
8425,8998
8426,8999
8427,9001
8431,9007
8432,9008
8433,9008
8436,9011
8437,9012
8438,9013
8439,9013
8442,9015
8443,9018
8444,9019
8447,9021
8451,9028
8452,9029
8453,9030
8454,9030
8455,9031
8456,9032
8459,9034
8461,9034
8462,9035
8464,9037
8470,9046
8471,9048
8473,9052
8474,9052
8475,9057
8477,9059
8478,9060
8479,9061
8480,9064
8481,9066
8482,9068
8487,9069
8488,9071
8490,9072
8491,9072
8492,9073
8495,9074
8496,9074
8500,9075
8501,9076
8503,9077
8504,9078
8506,9080
8507,9081
8508,9081
8509,9081
8512,9081
8515,9084
8516,9085
8517,9085
8519,9089
8520,9094
8524,9099
8525,9101
8526,9103
8528,9106
8529,9107
8531,9108
8532,9110
8533,9111
8534,9112
8536,9115
8540,9119
8541,9120
8542,9122
8543,9124
8547,9127
8548,9128
8549,9128
8550,9129
8552,9131
8554,9132
8555,9132
8556,9134
8557,9136
8558,9137
8559,9139
8562,9142
8563,9144
8564,9145
8565,9148
8567,9149
8568,9150
8572,9157
8576,9157
8577,9157
8581,9160
8582,9161
8585,9164
8586,9165
8587,9167
8588,9168
8591,9170
8592,9172
8593,9173
8597,9178
8599,9179
8600,9179
8602,9180
8604,9183
8605,9184
8608,9188
8609,9189
8612,9193
8613,9194
8614,9194
8619,9196
8621,9197
8623,9197
8626,9202
8632,9208
8633,9211
8637,9219
8639,9220
8642,9221
8644,9224
8645,9225
8646,9226
8647,9227
8651,9227
8655,9231
8657,9234
8659,9237
8660,9239
8661,9241
8665,9247
8672,9254
8674,9257
8676,9261
8683,9272
8686,9275
8688,9276
8689,9278
8691,9280
